name property WF d_band_center eg_band_center U_band_center p_band_center PE IE EA d_band_filling eg_band_filling T2g_band_filling d_dos_EF p_band_filling bader_charge aver_bader site_Od iso_corr
Ru110cuscusRuOH1 0.3368 7.1752 -1.9071 -1.3305 1.7685 -3.6267 2.2000 8.9670 1.5640 7.0012 1.5394 5.4607 0.6138 4.7180 7.4411 8.9991 3.7712 3.3622
Ru111bricusRuOH1 0.4295 5.3089 -2.9940 -3.4452 0.6961 -3.6205 2.2000 8.9670 1.5640 6.6528 1.7728 4.8795 0.8355 4.5989 7.2699 7.2699 4.1803 2.0052
Ru111cuscusMOH1 0.6935 5.2837 -3.1279 -5.1215 0.3673 -3.7194 2.2000 7.3610 1.0460 5.8947 1.5816 4.3139 0.7968 4.6345 14.1330 14.1330 4.2100 2.0287
Ti100cuscusMOH1 0.4401 7.3716 -3.1293 -3.0321 0.2740 -3.5276 1.5400 6.8280 0.0750 2.0794 0.8327 1.2468 0.1491 4.7022 9.8489 8.4758 3.8326 4.6900
Ti100cuscusRuOH1 0.4263 7.7392 -3.0361 -3.0384 0.4675 -3.5801 2.2000 8.9670 1.5640 6.5911 2.8593 3.7318 2.0510 4.6493 7.2599 8.5714 3.8328 4.2584
Ti101cuscusMOH1 0.4098 6.2080 -3.5671 -3.5174 0.2240 -3.7868 1.5400 6.8280 0.0750 2.0831 0.9204 1.1628 0.2964 4.7096 9.8251 8.4266 3.3187 4.1737
Ti101cuscusRuOH1 0.4443 5.7555 -3.0302 -3.2274 0.6492 -3.5155 2.2000 8.9670 1.5640 6.5141 2.4037 4.1108 1.4740 4.6700 7.2069 8.5451 3.4831 4.0389
Ti110bricusRuOH1 0.2770 7.3531 -2.6376 -3.5242 0.6131 -4.4255 2.2000 8.9670 1.5640 6.9543 1.5429 5.4118 1.0562 4.7033 7.4331 7.8972 3.7586 3.3877
Ti110cuscusRuOH1 0.3558 7.6221 -2.6856 -3.5143 0.5636 -4.1040 2.2000 8.9670 1.5640 6.8850 1.5850 5.3008 0.8610 4.7266 7.3943 7.9368 3.8656 3.7433
Ti111bricusRuOH1 0.4722 4.6463 -2.9518 -3.3989 0.6182 -3.3629 2.2000 8.9670 1.5640 6.5347 1.7139 4.8201 1.6149 4.6246 7.1758 7.1758 4.1997 2.0612
W100cuscusMOH1 -0.0481 6.7947 -1.2532 -1.1639 1.8576 -4.7547 2.3600 7.8640 0.8160 3.2606 1.4214 1.8392 0.2413 4.6644 11.6755 9.4792 3.8347 3.8877
W100cuscusRuOH1 0.2716 7.2331 -2.4562 -2.5392 0.5648 -4.0066 2.2000 8.9670 1.5640 6.9914 2.9652 4.0260 0.9790 4.6756 7.4787 9.5491 3.8553 4.7267
W101cuscusRuOH1 0.3663 6.7578 -2.6403 -2.9541 0.6382 -4.1732 2.2000 8.9670 1.5640 6.9235 2.4216 4.5009 1.6240 4.7042 7.3944 9.5045 3.4869 3.9055
W110bricusRuOH1 0.2226 6.8886 -1.7610 -1.2379 2.0290 -3.7086 2.2000 8.9670 1.5640 7.0632 1.5055 5.5574 0.8629 4.7106 7.5098 8.4145 3.7167 3.3692
W110cuscusRuOH1 0.3232 7.2856 -1.8103 -1.3474 1.5920 -4.5930 2.2000 8.9670 1.5640 7.1319 1.5268 5.6057 1.2313 4.7402 7.5445 8.4238 3.8574 3.7080
W111bricusRuOH1 0.3309 5.6982 -2.7946 -3.4772 0.5251 -4.1871 2.2000 8.9670 1.5640 6.8888 1.6560 5.2320 1.1542 4.6358 7.3538 7.3538 4.1344 1.9983
Zn100cuscusMOH1 0.4893 7.0669 -5.2756 -5.2864 0.1492 -3.1111 1.6500 9.3940 -0.6000 9.9069 3.9719 5.9346 0.0275 4.6705 10.6917 8.8450 3.9472 5.2303
Zn110bricusRuOH1 0.2783 7.2798 -2.6408 -3.5023 0.5961 -4.3008 2.2000 8.9670 1.5640 6.9043 1.5665 5.3375 0.8831 4.6762 7.4214 8.0352 3.7878 3.3712
Zn110cuscusMOH1 0.4799 7.4009 -5.2526 -5.1615 0.3010 -3.7223 1.6500 9.3940 -0.6000 9.9074 3.9290 5.9786 0.0184 4.7134 10.6253 8.0352 3.7935 3.7629
Zn111bricusRuOH1 0.5835 4.1911 -3.4327 -3.7063 0.8005 -3.0845 2.2000 8.9670 1.5640 6.2599 1.8337 4.4269 0.5073 4.5799 7.0651 7.0651 4.2729 2.2743
Zn111cuscusMOH1 0.4456 4.3100 -5.5301 -5.4384 0.2409 -2.9883 1.6500 9.3940 -0.6000 9.8503 3.8804 5.9707 0.1437 4.5564 10.6094 10.6094 4.1021 1.9388
Ag110bricusRuOOH 0.5554 7.0919 -1.3375 -4.7504 1.8847 -4.0379 2.2000 7.3610 1.0460 6.0681 1.4867 4.5821 1.2192 4.7500 14.2519 13.0316 3.9219 3.6005
Ag110cuscusMOOH 0.4313 6.9431 -3.2460 -3.0952 0.4952 -3.6701 1.9300 7.5760 1.3040 9.5010 3.5597 5.9419 0.3643 4.7302 10.0179 13.0081 3.5991 3.4908
Ag110cuscusRuOOH 0.4660 7.8640 -1.4329 -0.5960 2.0376 -3.8137 2.2000 7.3610 1.0460 5.9367 1.4432 4.4941 1.0717 4.7042 14.1876 13.0513 3.8420 3.7231
Ag111cuscusMOOH 0.3636 4.7075 -3.1029 -3.0890 0.4449 -3.2793 1.9300 7.5760 1.3040 9.7504 3.8742 5.8765 0.1110 4.5465 10.1720 10.1720 3.9043 3.7062
Co100cuscusRuOOH 0.4849 7.3723 -1.6869 -1.8071 1.8887 -2.8380 2.2000 7.3610 1.0460 5.7552 2.5189 3.2360 1.1136 4.6931 14.1116 14.7936 3.6426 3.8378
Co101cuscusRuOOH 0.4682 6.9564 -1.6025 -1.3438 1.9452 -3.0613 2.2000 7.3610 1.0460 5.8010 2.1489 3.6520 1.4486 4.7083 14.1263 14.7886 3.4763 3.8014
Co110bricusRuOOH 0.5332 7.0786 -1.1938 -4.1569 1.9301 -3.8721 2.2000 7.3610 1.0460 6.1646 1.4543 4.7099 1.5042 4.7715 14.2584 14.4877 3.7865 3.5514
Co110cuscusMOOH 0.4835 6.9971 -1.6567 -1.3977 1.2004 -3.1221 1.8800 7.8810 0.6620 7.0210 2.3411 4.6798 2.2297 4.8210 15.5320 14.4510 3.8101 3.8273
Co110cuscusRuOOH 0.4937 7.1865 -1.3212 -0.5665 1.9497 -3.6600 2.2000 7.3610 1.0460 5.9762 1.4822 4.4944 1.5067 4.7619 14.1851 14.4630 3.6506 3.1459
Co111bricusRuOOH 0.6070 5.5999 -1.8755 -1.1955 1.8274 -3.0784 2.2000 7.3610 1.0460 5.7027 1.6574 4.0449 0.6918 4.6615 14.0837 14.0837 4.2355 1.9131
Co111cuscusMOOH 0.4072 5.5598 -1.7621 -1.5132 1.2262 -2.9006 1.8800 7.8810 0.6620 7.0747 2.3344 4.7408 0.7881 4.6685 15.5126 15.5126 4.1620 1.9534
Cu100cuscusMOOH 0.3574 6.8728 -2.1142 -2.1147 0.3431 -3.2171 1.9000 7.7260 1.2350 9.3498 3.7786 5.5700 0.9038 4.6372 9.8732 11.8665 3.8607 5.3487
Cu110bricusRuOOH 0.5594 7.0604 -1.2944 -4.7895 1.8517 -3.8975 2.2000 7.3610 1.0460 6.0527 1.4854 4.5674 1.2571 4.7409 14.2534 13.0282 3.8628 3.6106
Cu110cuscusMOOH 0.4330 7.0293 -2.1494 -2.0656 0.3286 -3.4952 1.9000 7.7260 1.2350 9.3438 3.4252 5.9165 1.0157 4.7392 9.8572 13.0490 3.7770 3.8581
Cu110cuscusRuOOH 0.4788 7.6211 -1.4118 -2.9781 1.9727 -3.6096 2.2000 7.3610 1.0460 5.9007 1.4749 4.4261 1.5682 4.6909 14.1755 13.0103 3.6336 3.0628
Cu111bricusRuOOH 0.9114 5.3617 -4.0761 -5.4715 0.5754 -3.4042 2.2000 7.3610 1.0460 5.4953 1.7477 3.7476 1.0758 4.5640 13.9420 13.9420 4.2140 2.4567
Fe100cuscusMOOH 0.4445 7.2616 -1.5651 -1.5956 1.1773 -2.9812 1.8300 7.9020 0.1530 5.9693 2.4477 3.5215 0.4680 4.6833 14.3443 14.1905 3.7772 4.7485
Fe110cuscusMOOH 0.5424 6.9477 -1.6884 -1.4593 1.1928 -3.0184 1.8300 7.9020 0.1530 5.9389 2.3279 3.6108 0.7204 4.7794 14.3730 14.1837 3.7989 3.7710
Fe110cuscusRuOOH 0.4858 7.3200 -1.3056 -0.5790 1.9197 -3.6717 2.2000 7.3610 1.0460 5.9867 1.4814 4.5048 1.5584 4.7308 14.2117 14.1721 3.6950 3.3079
Fe111bricusRuOOH 0.6250 5.6775 -1.8358 -1.1767 1.8719 -2.8436 2.2000 7.3610 1.0460 5.6923 1.6403 4.0519 0.5810 4.6302 14.0582 14.0582 4.2319 1.9877
Fe111cuscusMOOH 0.4536 5.6014 -1.5726 -1.3027 1.2695 -2.6944 1.8300 7.9020 0.1530 5.9885 2.1247 3.8642 0.7652 4.6168 14.3614 14.3614 4.1701 1.9877
Ir100cuscusMOOH 0.2697 7.0035 -2.4954 -2.5843 0.8903 -3.6872 2.2000 8.9670 1.5640 6.9202 2.8585 4.0613 1.3379 4.6983 7.4315 10.7393 3.8007 4.3512
Ir100cuscusRuOOH 0.4265 7.2271 -1.3925 -1.4416 1.8451 -3.3519 2.2000 7.3610 1.0460 6.0096 2.4820 3.5276 2.4710 4.6868 14.2458 10.6953 3.7921 4.3619
Ir101cuscusMOOH 0.4939 6.7222 -2.7734 -3.0163 0.7634 -3.9240 2.2000 8.9670 1.5640 6.7656 2.4178 4.3481 0.7882 4.6893 7.3735 10.6783 3.2610 3.6458
Ir110bricusRuOOH 0.4618 7.0560 -1.1821 -0.5238 1.9698 -3.4611 2.2000 7.3610 1.0460 6.2190 1.4319 4.7870 1.3680 4.7629 14.2984 12.4435 3.7720 3.5274
Ir110cuscusMOOH 0.2816 6.9185 -1.8427 -1.1954 2.0000 -3.6759 2.2000 8.9670 1.5640 6.9602 1.6264 5.3343 0.5323 4.7465 7.4450 12.4363 3.7336 3.3852
Ir110cuscusRuOOH 0.4343 7.1595 -1.2058 -0.5500 1.9523 -3.5557 2.2000 7.3610 1.0460 6.2033 1.4184 4.7852 0.9756 4.7472 14.3179 12.4545 3.7692 3.5697
Ir111bricusRuOOH 0.5184 6.1040 -2.3343 -2.7595 0.9339 -3.4698 2.2000 7.3610 1.0460 5.8592 1.5921 4.2665 1.4226 4.6384 14.1219 14.1219 4.1727 2.0792
Ir111cuscusMOOH 0.3536 6.0768 -2.9574 -3.3522 0.7678 -3.5766 2.2000 8.9670 1.5640 6.6511 1.8033 4.8481 0.8285 4.6199 7.2754 7.2754 4.1419 2.0453
Mn100cuscusRuOOH 0.3598 6.8460 -1.3653 -2.0653 1.6707 -3.4415 2.2000 7.3610 1.0460 5.9010 2.5689 3.3327 2.5111 4.6765 14.2615 13.7285 3.7356 4.1549
Mn101cuscusRuOOH 0.6061 6.6801 -1.4020 -3.3857 1.8886 -3.3698 2.2000 7.3610 1.0460 5.9500 2.0877 3.8627 1.0371 4.7095 14.2196 13.6899 3.3379 3.7499
Mn110bricusRuOOH 0.4949 6.8554 -1.1925 -4.9558 1.9249 -3.2893 2.2000 7.3610 1.0460 6.1652 1.4474 4.7175 1.8530 4.7722 14.2661 13.9590 3.7625 3.5731
Mn110cuscusMOOH 0.6261 7.0181 -0.6416 -0.1977 1.3826 -3.1689 1.5500 7.4340 -0.5000 5.1715 1.3120 3.8599 4.5005 4.7766 13.2922 13.9211 3.7909 3.7277
Mn110cuscusRuOOH 0.4915 6.7770 -1.2018 -0.5404 1.8975 -3.1990 2.2000 7.3610 1.0460 6.1414 1.4795 4.6620 1.8832 4.7778 14.2662 13.9695 3.7063 3.3456
Mn111bricusRuOOH 0.4430 5.7393 -1.3401 -4.4589 2.1021 -2.9683 2.2000 7.3610 1.0460 5.9050 1.5730 4.3320 1.1104 4.6407 14.1966 14.1966 4.1375 1.8118
Mn111cuscusMOOH 0.4860 5.6615 -0.8009 -3.6178 1.5025 -3.2734 1.5500 7.4340 -0.5000 5.0855 1.4863 3.5990 2.0145 4.6536 13.2520 13.2520 4.2318 1.8700
Mo100cuscusMOOH 0.6351 6.6980 -2.2962 -2.1850 1.0815 -4.0306 2.1600 7.0920 0.7470 3.6042 1.5525 2.0517 0.2889 4.6592 11.5092 12.8304 3.7598 4.0206
Mo100cuscusRuOOH 0.4462 6.8818 -1.1205 -1.2334 1.9304 -2.8531 2.2000 7.3610 1.0460 6.1318 2.5297 3.6027 3.1835 4.6820 14.3376 12.8906 3.8285 4.7297
Mo101cuscusMOOH 0.7924 6.6209 -2.8658 -3.0090 0.9563 -4.2530 2.1600 7.0920 0.7470 3.6879 1.4389 2.2491 0.5552 4.6789 11.5342 12.7875 3.3802 4.0447
Mo101cuscusRuOOH 0.3810 7.0000 -1.3778 -3.0256 1.7166 -3.9233 2.2000 7.3610 1.0460 6.0256 2.1977 3.8286 1.8735 4.7027 14.2647 12.8587 3.4856 4.0786
Mo110bricusRuOOH 0.4010 6.7486 -1.1713 -0.5456 1.9182 -3.5888 2.2000 7.3610 1.0460 6.2474 1.4077 4.8386 1.7270 4.7567 14.3450 13.5481 3.7228 3.4712
Mo110cuscusMOOH 0.9701 6.7939 -1.2921 -5.9365 1.4966 -3.8810 2.1600 7.0920 0.7470 3.6715 1.1206 2.5506 1.4528 4.7195 11.6399 13.5503 3.7712 3.4400
Mo110cuscusRuOOH 0.4954 6.8546 -1.1309 -4.8579 1.8737 -4.2580 2.2000 7.3610 1.0460 6.1675 1.4383 4.7289 1.8810 4.7438 14.3445 13.5584 3.9202 4.0387
Mo111bricusRuOOH 0.2855 5.6410 -1.1506 -0.3558 2.2940 -3.1940 2.2000 7.3610 1.0460 5.9726 1.4796 4.4944 2.2018 4.6228 14.2304 14.2304 4.1164 1.9237
Mo111cuscusMOOH 0.3244 5.3530 0.3335 -5.2927 3.3666 -3.6836 2.1600 7.0920 0.7470 3.7209 1.1538 2.5667 0.3921 4.6446 11.5461 11.5461 4.1697 1.9116
Ni100cuscusMOOH 0.3691 7.0659 -1.7209 -1.7225 0.5090 -3.2460 1.9100 7.6400 1.1570 8.2336 3.3612 4.8711 0.5807 4.6647 8.7550 11.3570 3.7927 5.0358
Ni101cuscusMOOH 0.3776 6.7771 -1.7382 -1.6736 0.6264 -3.4367 1.9100 7.6400 1.1570 8.2397 2.9997 5.2395 1.1347 4.6598 8.7454 11.3222 3.3462 4.0156
Ni110bricusRuOOH 0.5270 7.0896 -1.2457 -4.6816 1.9058 -3.8879 2.2000 7.3610 1.0460 6.1227 1.4663 4.6550 1.3017 4.7454 14.2445 12.7593 3.8169 3.5409
Ni110cuscusMOOH 0.4320 7.0412 -1.7354 -1.5738 0.6107 -3.6022 1.9100 7.6400 1.1570 8.2568 2.4766 5.7801 0.8990 4.7484 8.7617 12.7665 3.7647 3.7707
Ni110cuscusRuOOH 0.4560 7.1328 -1.3642 -0.6003 1.9593 -3.6609 2.2000 7.3610 1.0460 5.9799 1.4754 4.5052 1.4560 4.7165 14.1888 12.7670 3.6523 3.1480
Ni111bricusRuOOH 0.5819 5.2768 -3.5741 -5.1123 0.7203 -3.3596 2.2000 7.3610 1.0460 5.6406 1.6876 3.9532 0.8536 4.5861 14.0465 14.0465 4.2391 1.8189
Ni111cuscusMOOH 0.3687 5.2755 -1.8605 -1.7114 0.6902 -3.3021 1.9100 7.6400 1.1570 8.2437 2.6493 5.5944 0.7255 4.5931 8.7140 8.7140 4.1252 1.8985
Ru100cuscusMOOH 0.4181 6.9349 -1.4029 -1.4534 1.7851 -3.2835 2.2000 7.3610 1.0460 5.9705 2.5161 3.4540 3.3955 4.7102 14.2366 14.1344 3.8036 4.3953
Ru101cuscusMOOH 0.6599 6.6084 -1.3445 -3.3168 1.9824 -3.6008 2.2000 7.3610 1.0460 5.9822 2.1674 3.8149 1.2655 4.7245 14.2521 14.1245 3.3089 3.8812
Ru110cuscusMOOH 0.4691 6.8929 -1.1867 -0.5218 1.9688 -3.3971 2.2000 7.3610 1.0460 6.1972 1.4396 4.7575 1.7369 4.7807 14.2907 14.1848 3.7648 3.5414
Ru111cuscusMOOH 0.4833 6.0518 -2.2909 -2.7290 0.9672 -3.5017 2.2000 7.3610 1.0460 5.9054 1.5857 4.3206 1.0044 4.6654 14.1757 14.1757 4.1575 1.9829
Ti100cuscusMOOH 0.4907 7.0691 -2.9862 -2.9242 0.5067 -3.2814 1.5400 6.8280 0.0750 2.0845 0.8176 1.2670 0.1781 4.7799 9.8463 11.9225 3.8375 4.8382
Ti100cuscusRuOOH 0.4194 7.4603 -2.6023 -2.6135 0.6463 -3.5049 2.2000 7.3610 1.0460 5.6642 2.5372 3.1269 3.3671 4.6999 14.0996 11.9917 3.7910 4.1833
Ti101cuscusMOOH 0.5233 6.7183 -3.3083 -3.3102 0.4371 -3.5781 1.5400 6.8280 0.0750 2.0854 0.8888 1.1965 0.1807 4.7792 9.8279 11.8731 3.3580 4.2346
Ti101cuscusRuOOH 0.4004 6.9670 -1.8291 -3.5471 1.6523 -3.4632 2.2000 7.3610 1.0460 5.7792 2.1684 3.6111 1.7518 4.7421 14.0757 11.9876 3.5253 4.2702
Ti110cuscusMOOH 0.5766 6.8942 1.4661 -4.4252 2.9496 -4.0311 1.5400 6.8280 0.0750 2.0326 0.9120 1.1206 0.2356 4.8264 9.8241 13.0815 3.7827 3.7673
Ti111bricusRuOOH 0.6090 5.8033 -2.4986 -3.0243 0.7391 -3.3390 2.2000 7.3610 1.0460 5.7870 1.5346 4.2527 2.3011 4.6969 14.0261 14.0261 4.1360 1.9819
Ti111cuscusMOOH 0.4663 5.7999 -3.3081 -3.8011 0.3887 -3.3002 1.5400 6.8280 0.0750 2.1066 0.9066 1.2002 0.3438 4.6810 9.8606 9.8606 4.2173 1.9213
W100cuscusMOOH 0.5459 6.8005 -0.8631 -0.8075 2.3553 -4.4862 2.3600 7.8640 0.8160 3.1926 1.3679 1.8248 0.0915 4.7236 11.6573 12.8845 3.7552 3.9315
W101cuscusMOOH 0.7391 6.6189 -4.1564 -4.2700 1.0926 -4.5768 2.3600 7.8640 0.8160 3.2397 1.2592 1.9803 0.2630 4.7397 11.6570 12.8532 3.4527 4.0196
W110bricusRuOOH 0.3768 6.8108 -1.1194 -0.5020 1.9277 -3.9147 2.2000 7.3610 1.0460 6.2537 1.3909 4.8630 1.7315 4.7727 14.3524 13.5689 3.6845 3.4473
W110cuscusMOOH 0.9806 6.7782 -1.3110 -6.5100 1.7712 -4.2569 2.3600 7.8640 0.8160 3.2220 1.0099 2.2124 0.5732 4.7635 11.6655 13.5774 3.7648 3.3121
W110cuscusRuOOH 0.4311 6.9730 -1.1443 -0.6194 1.6769 -4.4237 2.2000 7.3610 1.0460 6.2831 1.4049 4.8781 2.0440 4.7796 14.4356 13.6139 3.8560 3.9012
W111bricusRuOOH 0.2551 5.6401 -2.2075 -2.9235 0.6756 -4.0123 2.2000 7.3610 1.0460 5.9808 1.4605 4.5199 2.5930 4.6660 14.2323 14.2323 4.0993 1.9332
W111cuscusMOOH 0.2944 6.3286 -4.7840 -5.3052 0.4712 -3.8188 2.3600 7.8640 0.8160 3.2294 1.0507 2.1786 0.1707 4.6826 11.6152 11.6152 4.2245 1.8061
Zn100cuscusMOOH 0.3897 6.8979 -5.4789 -5.4929 0.1978 -3.1090 1.6500 9.3940 -0.6000 9.9091 3.9741 5.9342 0.0791 4.7141 10.6607 12.2507 3.9137 5.4640
Zn110bricusRuOOH 0.5609 7.0093 -1.2856 -4.9335 1.8782 -3.9096 2.2000 7.3610 1.0460 6.0777 1.4871 4.5906 1.7180 4.7646 14.2455 13.2087 3.8426 3.6241
Zn110cuscusMOOH 0.4127 6.9626 -5.2986 -5.2006 0.4385 -3.4557 1.6500 9.3940 -0.6000 9.8927 3.9175 5.9766 0.0561 4.7897 10.6520 13.2416 3.8396 4.0717
Zn110cuscusRuOOH 0.4558 7.8780 -1.4755 -0.6507 1.9381 -3.6238 2.2000 7.3610 1.0460 5.8807 1.4926 4.3874 1.4465 4.7264 14.1528 13.2270 3.7147 3.4382
Zn111bricusRuOOH 0.8208 5.4451 -4.0668 -5.5696 0.4381 -3.4298 2.2000 7.3610 1.0460 5.4791 1.6987 3.7803 1.1408 4.6094 13.9318 13.9318 4.2057 2.5031
Zn111cuscusMOOH 0.3642 5.4554 -5.8427 -5.7476 0.3804 -3.2215 1.6500 9.3940 -0.6000 9.8526 3.8846 5.9670 0.0609 4.6239 10.6092 10.6092 4.0903 1.8878
Ag100cuscusMOOH1 0.2969 6.9050 -2.8465 -2.8266 0.3374 -3.1754 1.9300 7.5760 1.3040 9.5836 3.8046 5.7797 1.2024 4.6158 10.0476 8.5140 3.6937 4.6134
Ag110bricusRuOOH1 0.1351 6.8543 -2.6096 -3.4634 0.6043 -4.1732 2.2000 8.9670 1.5640 6.9267 1.5812 5.3460 0.8053 4.6623 7.4314 7.8707 3.7777 3.3559
Ag110cuscusMOOH1 0.4251 7.2811 -2.7112 -2.6295 0.3991 -3.4570 1.9300 7.5760 1.3040 9.6080 3.6843 5.9228 0.4402 4.6491 10.0568 7.8326 3.4636 3.2382
Ag111bricusRuOOH1 0.6109 4.6458 -3.6233 -3.9298 0.8215 -3.1254 2.2000 8.9670 1.5640 6.2494 1.9352 4.3147 0.9741 4.5566 7.0319 7.0319 4.2833 2.5960
Ag111cuscusMOOH1 0.3508 4.6857 -3.4538 -3.3492 0.6588 -2.9060 1.9300 7.5760 1.3040 9.3329 3.4807 5.8514 0.2119 4.5426 9.8998 9.8998 3.9737 2.3709
Co100cuscusMOOH1 0.4388 7.4042 -1.9913 -2.0304 1.1848 -2.6609 1.8800 7.8810 0.6620 6.9580 2.9066 4.0518 0.4494 4.7090 15.4562 11.2971 3.8418 4.8249
Co100cuscusRuOOH1 0.3733 7.5823 -2.3901 -2.5202 1.8019 -2.9250 2.2000 8.9670 1.5640 6.4986 2.6593 3.8394 0.6239 4.6078 7.2693 11.3857 3.5179 5.4121
Co101cuscusMOOH1 0.3566 5.8981 -1.8484 -2.8527 1.1855 -3.5312 1.8800 7.8810 0.6620 6.9941 2.6753 4.3190 1.3199 4.7033 15.4758 11.2511 3.4371 4.2157
Co110bricusRuOOH1 0.1229 7.4613 -1.9144 -1.3386 1.7330 -3.9091 2.2000 8.9670 1.5640 6.9471 1.5424 5.4048 0.8302 4.6955 7.4260 9.3276 3.7674 3.4011
Co110cuscusMOOH1 0.4882 7.5284 -1.6735 -1.4326 1.3243 -3.0829 1.8800 7.8810 0.6620 7.1744 2.4048 4.7690 1.1504 4.7804 15.5146 9.2669 3.8320 3.7550
Co110cuscusRuOOH1 0.1800 7.4718 -1.9925 -1.3379 1.8325 -3.3781 2.2000 8.9670 1.5640 6.8557 1.6001 5.2553 0.8784 4.7127 7.3507 9.3265 3.6729 2.9677
Co111bricusRuOOH1 0.4727 4.5223 -2.2698 -1.7861 2.1815 -3.1788 2.2000 8.9670 1.5640 6.4742 1.8120 4.6624 0.6166 4.6352 7.1720 7.1720 4.2306 2.0737
Co111cuscusMOOH1 0.3616 4.4485 -1.7433 -3.0047 1.2484 -2.9860 1.8800 7.8810 0.6620 7.0673 2.3047 4.7629 1.0153 4.6334 15.4526 15.4526 4.1780 2.0072
Cu100cuscusMOOH1 0.3091 7.0070 -2.1975 -2.1742 0.3688 -3.2015 1.9000 7.7260 1.2350 9.3372 3.6969 5.6402 0.6287 4.6019 9.9265 8.4342 4.0449 4.7805
Cu100cuscusRuOOH1 0.3477 7.0031 -3.2176 -3.2606 0.5360 -3.5438 2.2000 8.9670 1.5640 6.5384 2.7825 3.7562 0.9193 4.5825 7.2025 8.4820 3.5834 3.2724
Cu110bricusRuOOH1 0.1530 7.0366 -2.6011 -3.4265 0.5859 -4.2090 2.2000 8.9670 1.5640 6.9267 1.5654 5.3620 0.7575 4.6650 7.4219 7.8499 3.7959 3.4157
Cu110cuscusMOOH1 0.4303 7.3468 -1.9144 -1.8495 0.2874 -3.6884 1.9000 7.7260 1.2350 9.3926 3.4853 5.9071 0.9657 4.6702 9.8674 7.8496 3.7576 3.6121
Cu110cuscusRuOOH1 0.2118 7.3375 -1.9929 -3.6818 2.0223 -3.9803 2.2000 8.9670 1.5640 6.7857 1.6079 5.1778 0.8861 4.6650 7.3098 7.8355 3.6608 2.8829
Cu111bricusRuOOH1 0.4513 4.1757 -3.4368 -3.7148 0.8596 -3.0891 2.2000 8.9670 1.5640 6.3133 1.8442 4.4702 0.6751 4.5569 7.0640 7.0640 4.2495 2.0728
Cu111cuscusMOOH1 0.4330 4.1797 -2.5032 -2.4399 0.5149 -2.9624 1.9000 7.7260 1.2350 9.2592 3.4257 5.8346 0.4172 4.5285 9.7901 9.7901 4.0567 1.9379
Fe100cuscusMOOH1 0.3835 7.5816 -1.4742 -1.4873 1.3089 -2.6548 1.8300 7.9020 0.1530 6.0239 2.4741 3.5496 0.4963 4.6453 14.3458 10.7565 3.7911 4.6140
Fe100cuscusRuOOH1 0.2634 7.6916 -3.1009 -3.1461 0.5339 -3.6201 2.2000 8.9670 1.5640 6.6137 2.7617 3.8518 1.2558 4.6107 7.2495 10.7988 3.7233 4.2149
Fe110bricusRuOOH1 0.1040 7.3040 -1.9219 -1.3549 1.7468 -3.6000 2.2000 8.9670 1.5640 6.9749 1.5467 5.4288 0.8854 4.6797 7.4358 9.0486 3.7658 3.4129
Fe110cuscusMOOH1 0.5290 7.4904 -1.6338 -1.4295 1.2870 -3.0947 1.8300 7.9020 0.1530 5.9950 2.3556 3.6393 0.4121 4.7396 14.3576 8.9805 3.8064 3.6607
Fe110cuscusRuOOH1 0.1959 7.5735 -1.9673 -1.3342 1.8110 -3.3923 2.2000 8.9670 1.5640 6.8668 1.5955 5.2715 0.8715 4.6833 7.3618 9.0212 3.7266 3.1656
Fe111bricusRuOOH1 0.3994 4.5723 -2.4180 -1.7469 1.8367 -3.2439 2.2000 8.9670 1.5640 6.4733 1.8058 4.6673 0.8934 4.5786 7.1764 7.1764 4.2217 2.0431
Fe111cuscusMOOH1 0.4295 4.5666 -1.5511 -3.5461 1.3205 -2.5778 1.8300 7.9020 0.1530 5.9785 2.1773 3.8022 0.4016 4.5779 14.3263 14.3263 4.1853 1.9565
Ir100cuscusMOOH1 0.1561 7.1963 -1.9020 -1.8787 1.8319 -3.5156 2.2000 8.9670 1.5640 6.8976 2.8282 4.0687 0.9289 4.6404 7.4245 7.2540 3.8111 4.3182
Ir101cuscusMOOH1 0.2380 6.4277 -2.0796 -1.8335 1.8685 -3.9582 2.2000 8.9670 1.5640 6.7728 2.3947 4.3784 1.1102 4.6419 7.3549 7.2312 3.4447 3.8470
Ir111cuscusMOOH1 0.3257 5.0196 -3.0222 -3.4708 0.6979 -3.5559 2.2000 8.9670 1.5640 6.6330 1.7757 4.8574 0.8790 4.5942 7.2339 7.2339 4.1918 2.0391
Mn100cuscusMOOH1 0.4582 7.3281 -0.9804 -1.0610 1.1739 -3.0811 1.5500 7.4340 -0.5000 5.0837 2.2220 2.8617 4.2270 4.6450 13.2438 10.2206 3.8552 4.6401
Mn101cuscusMOOH1 0.4847 6.0417 -1.8733 -2.8030 0.4609 -3.9631 1.5500 7.4340 -0.5000 5.1290 1.8410 3.2874 2.4475 4.6626 13.2686 10.1875 3.5161 4.3376
Mn101cuscusRuOOH1 0.2061 6.0892 -1.9382 -1.7734 2.0922 -3.1479 2.2000 8.9670 1.5640 6.7387 2.3288 4.4093 0.9313 4.6516 7.3420 10.2445 3.3526 3.5921
